,BATCH_SIZE_16,BATCH_SIZE_32,BATCH_SIZE_64,BATCH_SIZE_128,BATCH_SIZE_256,LEARNING_RATE_0.001,LEARNING_RATE_0.0005,LEARNING_RATE_0.0002,LEARNING_RATE_0.0001,LEARNING_RATE_5e-05,EMB_SIZE_64,EMB_SIZE_128,EMB_SIZE_256,EMB_SIZE_512,EMB_SIZE_1024,ATTN_HEADS_1,ATTN_HEADS_2,ATTN_HEADS_4,ATTN_HEADS_8,ATTN_HEADS_16,ENC_LAYERS_1,ENC_LAYERS_2,ENC_LAYERS_3,ENC_LAYERS_4,ENC_LAYERS_6,DEC_LAYERS_1,DEC_LAYERS_2,DEC_LAYERS_3,DEC_LAYERS_4,DEC_LAYERS_6
BATCH_SIZE_16,-0.659,0.659,0.659,0.659,0.659,0.0,0.0,0.0,0.0,0.0,-0.005277332969111228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BATCH_SIZE_32,0.659,-0.6594822012602864,0.659,0.659,0.659,0.0,0.0,0.0,0.0,-0.002486435311736999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BATCH_SIZE_64,0.659,0.659,-0.659,0.659,0.659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020813052706984505,0.0,0.0022273878279724674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004260953981432337
BATCH_SIZE_128,0.659,0.659,0.659,-0.659,0.659,0.0,0.0,0.0,0.0,0.0,0.08362243804881006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BATCH_SIZE_256,0.659,0.659,0.659,0.659,-0.653566267111114,0.0,0.0,0.0,0.0,0.0017791845966949333,0.13179702490708406,0.03919925784646125,0.0,0.0,0.0,0.0,0.003237759763602377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012565230715161884,0.025356837202503223,0.0,0.0,0.0,0.0
LEARNING_RATE_0.001,0.0,0.0,0.0,0.0,0.0,-0.659,0.659,0.659,0.659,0.659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LEARNING_RATE_0.0005,0.0,0.0,0.0,0.0,0.0,0.659,-0.659,0.659,0.659,0.659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LEARNING_RATE_0.0002,0.0,0.0,0.0,0.0,0.0,0.659,0.659,-0.659,0.659,0.659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LEARNING_RATE_0.0001,0.0,0.0,0.0,0.0,0.0,0.659,0.659,0.659,-0.659,0.659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LEARNING_RATE_5e-05,0.0,-0.002486435311736999,0.0,0.0,0.0017791845966949333,0.659,0.659,0.659,0.659,-0.659,0.0,0.0,-0.0051414121734937685,-0.0044732142256195245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011549107876409254
EMB_SIZE_64,-0.005277332969111228,0.0,0.0,0.08362243804881006,0.13179702490708406,0.0,0.0,0.0,0.0,0.0,-0.5255279418085264,0.659,0.659,0.659,0.659,0.0,0.0,0.0,0.0,0.0,0.0,0.013563430602040271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0037900343732463534
