BATCH_SIZE,LEARNING_RATE,EMB_SIZE,ATTN_HEADS,ENC_LAYERS,DEC_LAYERS,Final_Accuracy,Final_Loss,Execution_Time_Seconds
16,1e-06,64,16,6,1,0.84207,2.303947,271.74
16,1e-06,128,1,1,4,0.870004,1.251772,338.98
16,1e-06,512,8,2,3,0.88099,1.206531,593.3
16,1e-06,64,16,6,4,0.851376,2.080574,2632.49
16,1e-06,64,16,6,4,0.862545,1.78168,444.84
16,1e-06,128,16,8,4,0.867987,1.340937,562.41
16,1e-06,128,4,3,5,0.870655,1.294758,481.91
16,1e-06,512,8,4,6,0.865813,1.284867,1287.18
16,1e-06,16,2,2,8,0.470818,5.81597,686.4
16,1e-06,128,16,8,4,0.858139,1.528877,3377.76
16,1e-06,256,16,5,3,0.872122,1.273822,393.56
16,1e-06,1024,8,4,5,0.859807,1.282064,2154.71
16,1e-06,48,1,3,2,0.818617,2.703056,229.97
16,1e-06,96,16,1,8,0.865485,1.38925,491.66
16,1e-06,384,16,8,3,0.864682,1.312762,557.49
16,1e-06,64,8,6,6,0.86022,1.764645,512.95
16,1e-06,256,2,1,6,0.887318,1.22994,411.87
16,1e-06,384,1,1,4,0.872786,1.173396,366.41
16,1e-06,384,8,4,2,0.869786,1.225137,338.2
16,1e-06,128,4,5,2,0.868932,1.348001,286.25
16,1e-06,384,8,8,4,0.873828,1.31246,637.78
16,1e-06,128,8,3,6,0.870137,1.29143,430.98
16,1e-06,512,1,1,4,0.876074,1.164088,531.45
16,1e-06,16,4,6,8,0.513557,5.726248,615.3
16,1e-06,256,4,8,3,0.878133,1.268758,441.16
16,1e-06,32,16,4,6,0.811404,3.428069,458.97
16,1e-06,64,2,8,5,0.858683,1.731932,507.02
16,1e-06,32,2,1,6,0.79595,3.401638,392.94
16,1e-06,96,8,1,4,0.867185,1.399227,274.09
16,1e-06,192,16,6,1,0.866983,1.313197,255.55
32,1e-06,256,1,5,8,0.881735,1.323246,367.09
32,1e-06,64,1,5,2,0.842528,2.596128,142.88
32,1e-06,128,1,5,2,0.868663,1.502906,149.34
32,1e-06,768,8,6,3,0.860235,1.297876,918.27
32,1e-06,192,16,6,1,0.86564,1.380078,133.95
32,1e-06,128,1,5,6,0.869652,1.386846,264.07
32,1e-06,128,16,2,1,0.863873,1.733985,82.4
32,1e-06,192,8,2,4,0.868225,1.245648,164.25
32,1e-06,768,2,2,4,0.867849,1.275507,734.28
32,1e-06,768,8,5,1,0.87043,1.275174,548.93
32,1e-06,1024,2,8,5,0.868417,1.306252,2219.27
32,1e-06,16,1,5,6,0.393798,6.986534,242.55
32,1e-06,48,8,5,3,0.816583,3.278629,160.41
32,1e-06,64,2,5,5,0.849937,2.18728,214.4
32,1e-06,1024,8,4,8,0.866991,1.386078,2379.49
32,1e-06,48,16,6,8,0.823376,2.927834,311.12
32,1e-06,64,4,1,8,0.856076,2.154723,249.18
32,1e-06,128,4,5,2,0.869708,1.514962,141.23
32,1e-06,192,8,1,3,0.866241,1.2541,130.58
32,1e-06,48,4,5,8,0.837342,2.795054,295.82
32,1e-06,192,4,3,4,0.869227,1.301153,175.07
32,1e-06,256,4,8,2,0.868267,1.338426,220.57
32,1e-06,384,4,4,5,0.86681,1.337367,379.14
32,1e-06,512,16,2,6,0.86645,1.240053,557.76
32,1e-06,64,2,4,3,0.840306,2.340544,158.96
32,1e-06,192,1,2,4,0.872145,1.215232,163.09
32,1e-06,16,8,1,8,0.469563,6.460105,259.56
32,1e-06,16,4,5,6,0.367537,7.014854,234.83
32,1e-06,48,8,6,2,0.738097,3.578743,154.47
32,1e-06,128,2,5,2,0.869631,1.504021,153.06
32,1e-06,16,2,2,2,0.169755,7.422706,113.31
32,1e-06,96,16,2,4,0.861804,1.718186,158.87
32,1e-06,96,1,4,8,0.865712,1.538133,290.95
32,1e-06,256,16,5,2,0.870921,1.279774,162.56
32,1e-06,256,8,2,1,0.870778,1.269933,80.51
32,1e-06,384,8,8,8,0.869103,1.344505,641.72
48,1e-06,128,4,4,5,0.868048,1.483184,148.57
48,1e-06,128,8,3,1,0.860113,1.880661,65.82
48,1e-06,768,4,2,8,0.866566,1.294184,1198.19
48,1e-06,32,16,8,6,0.598777,4.932168,204.18
48,1e-06,64,4,4,1,0.580423,4.117358,70.69
48,1e-06,768,2,8,1,0.875151,1.330451,746.38
48,1e-06,1024,4,3,3,0.867927,1.258313,1001.28
48,1e-06,1024,1,2,3,0.871829,1.185502,896.44
48,1e-06,384,8,2,8,0.871019,1.347791,412.62
48,1e-06,768,2,4,6,0.867925,1.323853,1093.53
48,1e-06,192,2,1,8,0.872427,1.27948,151.15
48,1e-06,16,1,3,4,0.155928,7.635275,89.94
48,1e-06,32,8,3,4,0.530577,5.259762,98.25
48,1e-06,96,2,5,1,0.835164,2.457869,81.31
48,1e-06,128,2,6,6,0.869669,1.454313,177.69
48,1e-06,256,16,4,3,0.872066,1.284647,150.46
48,1e-06,48,4,2,6,0.776459,3.467422,131.82
48,1e-06,128,8,3,2,0.862881,1.702111,79.9
48,1e-06,192,2,6,3,0.869013,1.423283,137.82
48,1e-06,512,8,4,6,0.871182,1.375469,545.89
48,1e-06,64,1,3,4,0.834178,2.637804,110.49
48,1e-06,64,1,3,3,0.833477,2.805216,96.53
48,1e-06,256,2,3,1,0.872592,1.314547,82.08
48,1e-06,384,8,5,2,0.869674,1.276981,228.45
48,1e-06,128,8,5,6,0.865109,1.472609,167.52
48,1e-06,384,1,1,6,0.869391,1.238226,297.8
48,1e-06,768,8,1,2,0.871435,1.171892,366.4
48,1e-06,768,16,1,1,0.87279,1.14292,221.49
48,1e-06,1024,16,8,3,0.859941,1.332388,1637.11
64,1e-06,48,1,3,2,0.569354,4.988934,64.05
64,1e-06,48,16,2,1,0.309107,6.076084,46.8
64,1e-06,64,2,1,3,0.716339,3.571567,68.3
64,1e-06,64,4,5,2,0.679952,3.674751,81.22
64,1e-06,192,16,8,6,0.861638,1.350224,189.45
64,1e-06,256,2,5,2,0.871547,1.276978,124.85
64,1e-06,384,16,6,3,0.866787,1.33953,265.66
64,1e-06,768,2,2,8,0.866708,1.30134,1074.94
64,1e-06,1024,8,2,3,0.866945,1.193607,838.94
64,1e-06,48,4,4,5,0.698909,4.147691,106.58
64,1e-06,96,1,4,8,0.861829,1.790747,152.68
64,1e-06,192,4,8,1,0.863453,1.536478,96.88
64,1e-06,768,1,1,4,0.878904,1.15044,559.97
64,1e-06,96,1,1,1,0.612807,3.559188,35.56
64,1e-06,256,16,3,8,0.871905,1.29476,264.79
64,1e-06,384,1,2,8,0.877574,1.33106,378.83
64,1e-06,1024,8,6,8,0.866575,1.629447,2289.35
64,1e-06,32,16,2,3,0.318089,6.451347,64.3
64,1e-06,128,2,5,1,0.852362,2.228404,66.22
64,1e-06,384,4,1,4,0.869784,1.194473,195.19
64,1e-06,1024,4,2,8,0.863969,1.345253,1857.77
64,1e-06,16,4,2,2,0.170781,8.157195,50.4
64,1e-06,128,16,3,8,0.865116,1.52459,150.97
64,1e-06,192,1,6,5,0.868296,1.361612,150.78
64,1e-06,16,16,2,4,0.192596,7.555072,72.89
64,1e-06,256,8,4,2,0.869784,1.279551,108.92
64,1e-06,512,16,5,3,0.869458,1.341256,364.8
64,1e-06,768,1,6,3,0.870533,1.31499,780.88
64,1e-06,32,16,6,6,0.629221,5.403873,131.38
64,1e-06,32,2,5,6,0.567904,5.131152,133.01
64,1e-06,64,8,5,5,0.826869,2.904379,113.38
64,1e-06,64,2,2,8,0.838613,2.714821,134.63
64,1e-06,512,8,3,1,0.872403,1.204797,179.92
64,1e-06,32,4,1,3,0.418535,6.284738,57.47
64,1e-06,48,4,2,8,0.7888,3.561466,138.12
64,1e-06,96,8,6,5,0.859608,1.93162,132.77
64,1e-06,512,16,3,3,0.871038,1.262888,302.08
64,1e-06,1024,16,3,5,0.867685,1.301204,1348.17
64,1e-06,96,2,5,6,0.862441,1.899756,133.21
64,1e-06,256,4,4,2,0.871048,1.285115,110.08
64,1e-06,512,2,2,3,0.873986,1.219641,281.18
64,1e-06,1024,1,1,3,0.870578,1.164158,732.96
96,1e-06,1024,1,4,4,0.882613,1.260426,1189.85
96,1e-06,512,16,6,2,0.871238,1.305416,319.94
96,1e-06,512,8,3,6,0.868905,1.553482,444.92
96,1e-06,32,2,8,6,0.427472,5.989491,90.84
96,1e-06,64,1,2,8,0.787382,3.07878,92.24
96,1e-06,256,1,3,1,0.868979,1.509151,60.93
96,1e-06,768,1,3,2,0.876754,1.232856,419.02
96,1e-06,48,8,3,1,0.21542,6.796099,34.25
96,1e-06,64,2,8,4,0.775718,3.331003,88.0
96,1e-06,96,1,3,5,0.847815,2.159121,77.54
96,1e-06,768,16,5,8,0.866209,1.317249,1215.65
96,1e-06,256,2,3,5,0.86994,1.404373,143.74
96,1e-06,768,4,1,5,0.865266,1.329572,625.94
96,1e-06,16,4,6,2,0.182048,8.359719,61.68
96,1e-06,192,8,2,1,0.8618,1.750294,39.64
96,1e-06,192,16,2,6,0.869525,1.330965,119.75
96,1e-06,256,2,5,1,0.867597,1.423374,83.0
96,1e-06,256,16,5,4,0.867661,1.374899,145.86
96,1e-06,384,1,3,4,0.875543,1.458185,222.33
96,1e-06,32,8,3,5,0.434517,6.374764,68.22
128,1e-06,32,16,1,6,0.394138,6.765784,55.26
128,1e-06,48,8,4,3,0.400923,6.09202,41.02
128,1e-06,192,4,3,4,0.867793,1.414311,82.41
128,1e-06,192,2,1,2,0.862163,1.670661,44.18
128,1e-06,512,4,8,5,0.868558,1.337783,521.79
128,1e-06,192,8,2,2,0.863708,1.667555,50.91
128,1e-06,256,4,3,8,0.869396,1.399251,201.93
128,1e-06,16,8,2,5,0.186417,8.406305,52.41
128,1e-06,256,2,8,3,0.869181,1.408388,145.94
128,1e-06,192,1,2,5,0.866882,1.424796,91.64
128,1e-06,192,16,8,4,0.863893,1.519505,123.86
128,1e-06,384,1,1,4,0.877001,1.206382,173.02
128,1e-06,512,1,1,8,0.880046,1.349836,479.78
128,1e-06,512,4,2,6,0.869482,1.280147,395.17
128,1e-06,16,1,6,8,0.183949,7.919279,83.93
128,1e-06,256,1,4,4,0.87227,1.349055,124.91
