Semilla,Energia_QUBO,Energia_Real_Estimada,Tiempo_Segundos,Violaciones_OneHot,Factible,Explorada,Precision_Real_HPO,Tiempo_Real_HPO,BATCH_SIZE,LEARNING_RATE,EMB_SIZE,ATTN_HEADS,ENC_LAYERS,DEC_LAYERS,RMSE,Profundidad_Circuito,Total_Puertas,Puertas_CNOT,Modelo_Ruido,Escenario_Modo,Loss_Real_HPO
7,16.0052,19.9592,1039.076,0,1,0,-1.0,-1.0,256,0.0001,1024,2,2,4,20.5635,31,89,29,Sin ruido (Ideal),ideal,-1.0
7,16.0052,19.9592,18759.901,0,1,0,-1.0,-1.0,256,0.0001,1024,2,2,4,20.5635,31,89,29,"Aer depolarizante (1q=0.01%, 2q=0.1%, ro=0.2%) [Reverse ideal reference]",low,-1.0
7,16.0052,19.9592,19013.104,0,1,0,-1.0,-1.0,256,0.0001,1024,2,2,4,20.5635,31,89,29,"Aer depolarizante (1q=0.05%, 2q=0.5%, ro=0.5%) [Reverse ideal reference]",medium,-1.0
7,16.0052,19.9592,19261.876,0,1,0,-1.0,-1.0,256,0.0001,1024,2,2,4,20.5635,31,89,29,"Aer depolarizante (1q=0.1%, 2q=1.0%, ro=1.0%) [Reverse ideal reference]",high,-1.0
42,15.9933,19.9473,1066.95,0,1,0,0.86121,864.88,128,5e-05,1024,8,1,1,20.5516,31,89,29,Sin ruido (Ideal),ideal,1.344684
42,15.9933,19.9473,20862.895,0,1,0,0.86121,864.88,128,5e-05,1024,8,1,1,20.5516,31,89,29,"Aer depolarizante (1q=0.01%, 2q=0.1%, ro=0.2%) [Reverse ideal reference]",low,1.344684
42,15.9933,19.9473,21144.597,0,1,0,0.86121,864.88,128,5e-05,1024,8,1,1,20.5516,31,89,29,"Aer depolarizante (1q=0.05%, 2q=0.5%, ro=0.5%) [Reverse ideal reference]",medium,1.344684
42,15.9933,19.9473,19581.438,0,1,0,0.86121,864.88,128,5e-05,1024,8,1,1,20.5516,31,89,29,"Aer depolarizante (1q=0.1%, 2q=1.0%, ro=1.0%) [Reverse ideal reference]",high,1.344684
99,16.0311,19.9851,1125.276,0,1,1,0.165886,2679.25,32,0.001,512,1,2,2,20.5894,31,89,29,Sin ruido (Ideal),ideal,5.668631
99,16.0311,19.9851,19697.75,0,1,1,0.165886,2679.25,32,0.001,512,1,2,2,20.5894,31,89,29,"Aer depolarizante (1q=0.01%, 2q=0.1%, ro=0.2%) [Reverse ideal reference]",low,5.668631
99,16.0311,19.9851,21484.605,0,1,1,0.165886,2679.25,32,0.001,512,1,2,2,20.5894,31,89,29,"Aer depolarizante (1q=0.05%, 2q=0.5%, ro=0.5%) [Reverse ideal reference]",medium,5.668631
99,16.0311,19.9851,19172.017,0,1,1,0.165886,2679.25,32,0.001,512,1,2,2,20.5894,31,89,29,"Aer depolarizante (1q=0.1%, 2q=1.0%, ro=1.0%) [Reverse ideal reference]",high,5.668631
123,15.9737,19.9277,2129.451,0,1,1,0.876096,857.74,64,5e-05,256,4,2,3,20.5319,31,89,29,Sin ruido (Ideal),ideal,1.284004
123,15.9737,19.9277,18380.397,0,1,1,0.876096,857.74,64,5e-05,256,4,2,3,20.5319,31,89,29,"Aer depolarizante (1q=0.01%, 2q=0.1%, ro=0.2%) [Reverse ideal reference]",low,1.284004
123,15.9737,19.9277,22407.551,0,1,1,0.876096,857.74,64,5e-05,256,4,2,3,20.53193,31,89,29,"Aer depolarizante (1q=0.05%, 2q=0.5%, ro=0.5%) [Reverse ideal reference]",medium,-1.0
123,15.9737,19.9277,31072.808,0,1,1,0.876096,857.74,64,5e-05,256,4,2,3,20.53193,31,89,29,"Aer depolarizante (1q=0.1%, 2q=1.0%, ro=1.0%) [Reverse ideal reference]",high,1.284004
1001,16.1162,20.0702,1116.53,0,1,1,0.858025,1556.57,32,0.0005,64,4,4,6,20.6745,31,89,29,Sin ruido (Ideal),ideal,1.326633
1001,16.1162,20.0702,21412.596,0,1,1,0.858025,1556.57,32,0.0005,64,4,4,6,20.6745,31,89,29,"Aer depolarizante (1q=0.01%, 2q=0.1%, ro=0.2%) [Reverse ideal reference]",low,1.326633
1001,16.1162,20.0702,51083.366,0,1,1,0.858025,1556.57,32,0.0005,64,4,4,6,20.674451,31,89,29,"Aer depolarizante (1q=0.05%, 2q=0.5%, ro=0.5%) [Reverse ideal reference]",medium,1.326633
1001,16.1162,20.0702,22104.108,0,1,1,0.858025,1556.57,32,0.0005,64,4,4,6,20.674451,31,89,29,"Aer depolarizante (1q=0.1%, 2q=1.0%, ro=1.0%) [Reverse ideal reference]",high,1.326633
