Semilla,Energia_QUBO,Energia_Real_Estimada,Tiempo_Segundos,Violaciones_OneHot,Factible,Explorada,Precision_Real_HPO,Tiempo_Real_HPO,BATCH_SIZE,LEARNING_RATE,EMB_SIZE,ATTN_HEADS,ENC_LAYERS,DEC_LAYERS,RMSE,Profundidad_Circuito,Total_Puertas,Puertas_CNOT,Modelo_Ruido,Escenario_Modo,Loss_Real_HPO
7,0.0,3.954,11.58,1,0,1,0.79927,2202.48,16,0.001,64,4,6,3,4.5583,31,89,29,Sin ruido (Ideal),ideal,1.998132
7,-0.0122,3.9418,902.508,1,0,1,0.79927,2202.48,16,0.001,64,4,6,3,4.5461,31,89,29,"Aer depolarizante (1q=0.01%, 2q=0.1%, ro=0.2%)",low,1.998132
7,-0.0106,3.9434,908.775,0,1,1,0.79927,2202.48,16,0.001,64,4,6,3,4.5477,31,89,29,"Aer depolarizante (1q=0.05%, 2q=0.5%, ro=0.5%)",medium,1.998132
7,-0.0181,3.9359,937.446,1,0,1,0.79927,2202.48,16,0.001,64,4,6,3,4.5401,31,89,29,"Aer depolarizante (1q=0.1%, 2q=1.0%, ro=1.0%)",high,1.998132
42,0.0483,4.0023,11.213,1,0,1,0.867928,1632.12,16,5e-05,256,16,6,1,4.6066,31,89,29,Sin ruido (Ideal),ideal,1.226534
42,-0.0103,3.9437,879.429,2,0,1,0.867928,1632.12,16,5e-05,256,16,6,1,4.548,31,89,29,"Aer depolarizante (1q=0.01%, 2q=0.1%, ro=0.2%)",low,1.226534
42,-0.0103,3.9437,873.19,1,0,1,0.867928,1632.12,16,5e-05,256,16,6,1,4.548,31,89,29,"Aer depolarizante (1q=0.05%, 2q=0.5%, ro=0.5%)",medium,1.226534
42,-0.0026,3.9514,870.693,2,0,1,0.867928,1632.12,16,5e-05,256,16,6,1,4.5556,31,89,29,"Aer depolarizante (1q=0.1%, 2q=1.0%, ro=1.0%)",high,1.226534
99,-0.0085,3.9455,10.736,3,0,1,0.881446,1473.05,64,0.0001,256,1,2,6,4.5497,31,89,29,Sin ruido (Ideal),ideal,1.298249
99,-0.0078,3.9462,848.775,0,1,1,0.881446,1473.05,64,0.0001,256,1,2,6,4.5505,31,89,29,"Aer depolarizante (1q=0.01%, 2q=0.1%, ro=0.2%)",low,1.298249
99,-0.0078,3.9462,843.171,0,1,1,0.881446,1473.05,64,0.0001,256,1,2,6,4.5505,31,89,29,"Aer depolarizante (1q=0.05%, 2q=0.5%, ro=0.5%)",medium,1.298249
99,-0.0119,3.9421,870.279,0,1,1,0.881446,1473.05,64,0.0001,256,1,2,6,4.5464,31,89,29,"Aer depolarizante (1q=0.1%, 2q=1.0%, ro=1.0%)",high,1.298249
123,1.3077,5.2617,10.805,1,0,1,0.87401,1894.25,32,5e-05,256,4,6,4,5.866,31,89,29,Sin ruido (Ideal),ideal,1.246218
123,-0.0054,3.9486,853.366,0,1,1,0.87401,1894.25,32,5e-05,256,4,6,4,4.5529,31,89,29,"Aer depolarizante (1q=0.01%, 2q=0.1%, ro=0.2%)",low,1.246218
123,-0.0153,3.9387,849.539,0,1,1,0.87401,1894.25,32,5e-05,256,4,6,4,4.543,31,89,29,"Aer depolarizante (1q=0.05%, 2q=0.5%, ro=0.5%)",medium,1.246218
123,-0.0103,3.9437,844.686,1,0,1,0.87401,1894.25,32,5e-05,256,4,6,4,4.548,31,89,29,"Aer depolarizante (1q=0.1%, 2q=1.0%, ro=1.0%)",high,1.246218
1001,-0.0078,3.9462,11.15,4,0,1,0.874131,1959.61,16,5e-05,256,4,6,2,4.5505,31,89,29,Sin ruido (Ideal),ideal,1.230333
1001,-0.0163,3.9377,869.583,1,0,1,0.874131,1959.61,16,5e-05,256,4,6,2,4.542,31,89,29,"Aer depolarizante (1q=0.01%, 2q=0.1%, ro=0.2%)",low,1.230333
1001,-0.0153,3.9387,867.705,1,0,1,0.874131,1959.61,16,5e-05,256,4,6,2,4.543,31,89,29,"Aer depolarizante (1q=0.05%, 2q=0.5%, ro=0.5%)",medium,1.230333
1001,-0.0121,3.9419,867.265,0,1,1,0.874131,1959.61,16,5e-05,256,4,6,2,4.5461,31,89,29,"Aer depolarizante (1q=0.1%, 2q=1.0%, ro=1.0%)",high,1.230333
